Phase,Sub-step,Primary user,Other actors,Theme,Opportunity title,Evidence,Notes
5. Terminal Replacements,5.b Setting Up Replacements in Store,Merchant,"Store staff, Warehouse",T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,AfP submerchants only
5. Terminal Replacements,5.c FM Configuration,Merchant,Support,T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,"Same as 3.c, smaller scope"
5. Terminal Replacements,5.c FM Configuration,Merchant,Support,T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,
5. Terminal Replacements,5.c FM Configuration,Merchant,Support,T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",
5. Terminal Replacements,5.d Return Faulty Terminals,Merchant,"Warehouse, Courier",,,,Logistics
B1. Platform setup,B1.a Platform orders bulk hardware,Platform (AfP),"Adyen Sales, Warehouse",,,,Bulk hardware order placed
B1. Platform setup,B1.b Define packaging & branding,Platform (AfP),"Adyen Ops, Supply Chain",T2. End-to-end Device Experience,O8. Branded packaging & preboarding,"Platforms carry shipping, branding, preboarding overhead outside core business.","Platforms want branded packaging, hand off logistics"
B2. Preboarding,B2.a Preboard at warehouse,Warehouse,"Adyen Ops, Platform",T2. End-to-end Device Experience,O8. Branded packaging & preboarding,"Platforms carry shipping, branding, preboarding overhead outside core business.","Preboarding service — Fresha 4h/day, Palisis 30% ops time"
B2. Preboarding,B2.b Insert activation guide & QR codes,Warehouse,Platform,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,"Topper, stickers, QR codes in box"
B3. Delivery,B3.a Dropship to submerchant,Courier,"Warehouse, Platform",,,,Logistics
B3. Delivery,B3.b Submerchant receives package,Submerchant,Courier,T2. End-to-end Device Experience,O8. Branded packaging & preboarding,"Platforms carry shipping, branding, preboarding overhead outside core business.",Branding affects delivery acceptance
B4. Activation ⭐,B4.a Unbox terminal,Submerchant,Platform support,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,"First impression, branding"
B4. Activation ⭐,B4.b Connect Wi-Fi & enter passcode,Submerchant,Platform support,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,Tide: 200 tickets/month from passcode alone
B4. Activation ⭐,B4.c First boot & software updates,Submerchant,Platform support,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,Munu: confusing updates → failed onboardings
B4. Activation ⭐,B4.d First test transaction,Submerchant,Platform support,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,Activation success moment
B5. BAU,B5.a Day-to-day use,Submerchant,Platform support,,,,Normal operation
B5. BAU,B5.b Replacement cycle,Submerchant,"Platform, Warehouse, Adyen Ops",T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,AfP submerchants face activation again
